barcode,sample,library_processing_notes,marker,Study,Tree,Sex,Collection,Season,Weevil,Nitrogen,Stream,Notes
P01_01_A,1144,,ITS1,EH2,E-2,Female,Fall,Fall,No,8,Geo-W,
P01_01_B,1089,,ITS1,EH2,E-1,Female,Fall,Fall,No,0,Geo-W,"again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P01_01_C,1162,,ITS1,EH2,E-9,Female,Fall,Fall,No,16,Geo-W,
P01_01_D,1396,,ITS1,EH2,E-7,Male,Fall,Fall,No,8,Geo-W,
P01_01_E,1209,,ITS1,EH2,E-14,Male,Fall,Fall,No,0,Geo-W,
P01_01_F,1059,,ITS1,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,
P01_01_G,1128,,ITS1,EH2,E-15,Male,Fall,Fall,No,16,Geo-W,
P01_01_H,2005,,ITS1,EH2,E-9,Female,Fall,Fall,No,16,Geo-W,
P01_02_A,1317,,ITS1,SH2,6281,Female,Summer,Summer,Yes,0,Geo-W,pellet in supernatant transfer
P01_02_B,1094,,ITS1,EH2,E-1,Female,Fall,Fall,No,0,Geo-W,
P01_02_C,1028,,ITS1,SH2,8358,Female,Fall,Summer,No,0,Geo-W,
P01_02_D,1169,,ITS1,SH2,8377,Female,Fall,Summer,No,0,Geo-W,
P01_02_E,1054,,ITS1,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,
P01_02_F,1216,,ITS1,EH2,E-14,Male,Fall,Fall,No,0,Geo-W,
P01_02_G,1145,,ITS1,EH2,E-2,Female,Fall,Fall,No,8,Geo-W,
P01_02_H,1100,,ITS1,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,
P01_03_A,1336,,ITS1,SH2,8327,Female,Fall,Summer,No,0,Geo-W,
P01_03_B,1187,,ITS1,EH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P01_03_C,1333,,ITS1,SH2,8366,Female,Fall,Summer,No,0,Geo-W,
P01_03_D,1323,,ITS1,SH2,6513,Male,Summer,Summer,Yes,0,Geo-W,
P01_03_E,1357,,ITS1,FH2,1471,Male,Summer,Fall,Yes,0,Geo-W,
P01_03_F,1347,,ITS1,FH2,6251,Male,Summer,Fall,Yes,0,Geo-W,
P01_03_G,1112,,ITS1,FH2,8357,Male,Fall,Fall,No,0,Geo-W,
P01_03_H,1351,,ITS1,FH2,P-907,Male,Summer,Fall,Yes,0,Geo-W,
P01_04_A,1338,,ITS1,SH2,8365,Male,Fall,Summer,No,0,Geo-W,
P01_04_B,1141,,ITS1,EH2,E-17,Male,Fall,Fall,No,8,Geo-W,
P01_04_C,1051,,ITS1,FH2,8343,Male,Fall,Fall,No,0,Geo-W,
P01_04_D,1088,,ITS1,FH2,8387,Male,Fall,Fall,No,0,Geo-W,
P01_04_E,1314,,ITS1,SH2,6295,Female,Summer,Summer,Yes,0,Geo-W,
P01_04_F,1254,,ITS1,FH2,6242,Female,Summer,Fall,Yes,0,Geo-W,
P01_04_G,1363,,ITS1,FH2,6513,Male,Summer,Fall,Yes,0,Geo-W,
P01_04_H,1038,,ITS1,FH2,8331,Male,Fall,Fall,No,0,Geo-W,
P01_05_A,1120,,ITS1,EH2,E-15,Male,Fall,Fall,No,16,Geo-W,
P01_05_B,1132,,ITS1,EH2,E-7,Male,Fall,Fall,No,8,Geo-W,
P01_05_C,1327,,ITS1,SH2,1471,Male,Summer,Summer,Yes,0,Geo-W,
P01_05_D,1369,,ITS1,FH2,S-1,Female,Summer,Fall,Yes,0,Geo-W,
P01_05_E,1343,,ITS1,FH2,6325,Male,Summer,Fall,Yes,0,Geo-W,
P01_05_F,1294,,ITS1,SH2,P-907,Male,Summer,Summer,Yes,0,Geo-W,small weight loss -leaf fell
P01_05_G,1270,,ITS1,FH2,8314,Female,Summer,Fall,Yes,0,Geo-W,
P01_05_H,1067,,ITS1,FH2,8380,Female,Fall,Fall,No,0,Geo-W,
P01_06_A,1233,,ITS1,EH2,E-3,Female,Fall,Fall,No,16,Geo-W,
P01_06_B,1108,,ITS1,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,For these EH2 samples the nanodrop values are all higher - only difference is new spin columns. 
P01_06_C,1048,,ITS1,SH2,8343,Male,Fall,Summer,No,0,Geo-W,
P01_06_D,1267,,ITS1,SH2,8314,Female,Summer,Summer,Yes,0,Geo-W,
P01_06_E,1017,,ITS1,SH2,8356,Female,Fall,Summer,No,0,Geo-W,
P01_06_F,1303,,ITS1,SH2,6278,Male,Summer,Summer,Yes,0,Geo-W,Batch 2 (second four samples below?) sat longer in C1 solution; All 12 below stored in freezer for nanodrop?
P01_06_G,1360,,ITS1,FH2,8319,Male,Summer,Fall,Yes,0,Geo-W,
P01_06_H,1071,"sample vial says 1171, but really 1071",ITS1,SH2,8361,Male,Fall,Summer,No,0,Geo-W,
P01_07_A,1184,,ITS1,EH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P01_07_B,1239,,ITS1,EH2,E-3,Female,Fall,Fall,No,16,Geo-W,"new spin columns used on these 12 below; again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P01_07_C,1118,,ITS1,SH2,8398,Male,Fall,Summer,No,0,Geo-W,pipette at step 5 weird
P01_07_D,1255,,ITS1,SH2,6242,Female,Summer,Summer,Yes,0,Geo-W,
P01_07_E,1027,,ITS1,SH2,8352,Male,Fall,Summer,No,0,Geo-W,
P01_07_F,1041,,ITS1,SH2,8331,Male,Fall,Summer,No,0,Geo-W,"again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P01_07_G,1381,,ITS1,FH2,8352,Male,Fall,Fall,No,0,Geo-W,
P01_07_H,1392,,ITS1,FH2,8342,Female,Fall,Fall,No,0,Geo-W,
P01_08_A,1139,,ITS1,EH2,E-17,Male,Fall,Fall,No,8,Geo-W,
P01_08_B,1036,,ITS1,FH2,8358,Female,Fall,Fall,No,0,Geo-W,
P01_08_C,1387,,ITS1,FH2,8366,Female,Fall,Fall,No,0,Geo-W,potential error in step 4
P01_08_D,1296,,ITS1,SH2,6325,Male,Summer,Summer,Yes,0,Geo-W,small amount lost transferring to bead tube
P01_08_E,1115,,ITS1,FH2,8398,Male,Fall,Fall,No,0,Geo-W,
P01_08_F,1367,,ITS1,FH2,6282,Female,Summer,Fall,Yes,0,Geo-W,
P01_08_G,1385,,ITS1,FH2,8327,Female,Fall,Fall,No,0,Geo-W,
P01_08_H,1320,,ITS1,SH2,S-1,Female,Summer,Summer,Yes,0,Geo-W,
P01_09_A,1060,,ITS1,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,redo solution was slightly colored? Very high nanodrop
P01_09_B,1072,,ITS1,FH2,8361,Male,Fall,Fall,No,0,Geo-W,
P01_09_C,1353,,ITS1,FH2,6254,Male,Summer,Fall,Yes,0,Geo-W,
P01_09_D,1104,,ITS1,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,
P01_09_E,1311,,ITS1,SH2,6254,Male,Summer,Summer,Yes,0,Geo-W,
P01_09_F,1308,,ITS1,SH2,6251,Male,Summer,Summer,Yes,0,Geo-W,
P01_09_G,1298,,ITS1,SH2,6282,Female,Summer,Summer,Yes,0,Geo-W,
P01_09_H,1109,,ITS1,SH2,8357,Male,Fall,Summer,No,0,Geo-W,
P01_10_A,1329,,ITS1,SH2,8319,Male,Summer,Summer,Yes,0,Geo-W,
P01_10_B,1345,,ITS1,FH2,6278,Male,Summer,Fall,Yes,0,Geo-W,
P01_10_C,1014,,ITS1,FH2,8356,Female,Fall,Fall,No,0,Geo-W,
P01_10_D,1064,,ITS1,SH2,8380,Female,Fall,Summer,No,0,Geo-W,
P01_10_E,1284,,ITS1,SH2,6264,Female,Summer,Summer,Yes,0,Geo-W,error step 7; but nano was fine - error was minor? Step 10 some splashed out
P01_10_F,1166,,ITS1,FH2,8377,Female,Fall,Fall,No,0,Geo-W,
P01_10_G,1304,,ITS1,SH2,8342,Female,Fall,Summer,No,0,Geo-W,
P01_10_H,1286,,ITS1,FH2,6264,Female,Summer,Fall,Yes,0,Geo-W,
P01_11_A,1201,,ITS1,FH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P01_11_B,1086,,ITS1,SH2,8387,Male,Fall,Summer,No,0,Geo-W,
P01_11_C,1374,,ITS1,FH2,6281,Female,Summer,Fall,Yes,0,Geo-W,
P01_11_D,1206,,ITS1,SH2,E-11,Female,Fall,Summer,No,0,Geo-W,
P01_11_E,1371,,ITS1,FH2,6295,Female,Summer,Fall,Yes,0,Geo-W,didn't mix? Nano drop too high?
P01_11_F,1377,,ITS1,FH2,8365,Male,Fall,Fall,No,0,Geo-W,
P01_11_G,1273,,ITS1,FH2,6234,Female,Summer,Fall,Yes,0,Geo-W,
P01_11_H,1369,,ITS1,FH2,S-1,Female,Summer,Fall,Yes,0,Geo-W,
P01_12_A,7381,,ITS1,SH2-18,2,Male,Summer,Summer,Yes,0,Forsyth,
P01_12_B,4813,,ITS1,SH2-18,3,Male,Summer,Summer,Yes,0,Forsyth,
P01_12_C,6015,,ITS1,SH1-18,8320,Female,Summer,Summer,Yes,0,Forsyth,
P01_12_D,4888,,ITS1,SH1-18,1,Male,Summer,Summer,Yes,0,Forsyth,
P01_12_E,7896,,ITS1,SH2-18,8332,Female,Summer,Summer,Yes,0,Forsyth,
P01_12_F,3755,,ITS1,SH2-18,1,Male,Summer,Summer,Yes,0,Forsyth,
P01_12_G,neg,,ITS1,,,,,,,,,
P01_12_H,pos,,ITS1,,,,,,,,,
P02_01_A,1144,,ITS2,EH2,E-2,Female,Fall,Fall,No,8,Geo-W,
P02_01_B,1089,,ITS2,EH2,E-1,Female,Fall,Fall,No,0,Geo-W,"again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P02_01_C,1162,,ITS2,EH2,E-9,Female,Fall,Fall,No,16,Geo-W,
P02_01_D,1396,,ITS2,EH2,E-7,Male,Fall,Fall,No,8,Geo-W,
P02_01_E,1209,,ITS2,EH2,E-14,Male,Fall,Fall,No,0,Geo-W,
P02_01_F,1059,,ITS2,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,
P02_01_G,1128,,ITS2,EH2,E-15,Male,Fall,Fall,No,16,Geo-W,
P02_01_H,2005,,ITS2,EH2,E-9,Female,Fall,Fall,No,16,Geo-W,
P02_02_A,1317,,ITS2,SH2,6281,Female,Summer,Summer,Yes,0,Geo-W,pellet in supernatant transfer
P02_02_B,1094,,ITS2,EH2,E-1,Female,Fall,Fall,No,0,Geo-W,
P02_02_C,1028,,ITS2,SH2,8358,Female,Fall,Summer,No,0,Geo-W,
P02_02_D,1169,,ITS2,SH2,8377,Female,Fall,Summer,No,0,Geo-W,
P02_02_E,1054,,ITS2,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,
P02_02_F,1216,,ITS2,EH2,E-14,Male,Fall,Fall,No,0,Geo-W,
P02_02_G,1145,,ITS2,EH2,E-2,Female,Fall,Fall,No,8,Geo-W,
P02_02_H,1100,,ITS2,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,
P02_03_A,1336,,ITS2,SH2,8327,Female,Fall,Summer,No,0,Geo-W,
P02_03_B,1187,,ITS2,EH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P02_03_C,1333,,ITS2,SH2,8366,Female,Fall,Summer,No,0,Geo-W,
P02_03_D,1323,,ITS2,SH2,6513,Male,Summer,Summer,Yes,0,Geo-W,
P02_03_E,1357,,ITS2,FH2,1471,Male,Summer,Fall,Yes,0,Geo-W,
P02_03_F,1347,,ITS2,FH2,6251,Male,Summer,Fall,Yes,0,Geo-W,
P02_03_G,1112,,ITS2,FH2,8357,Male,Fall,Fall,No,0,Geo-W,
P02_03_H,1351,,ITS2,FH2,P-907,Male,Summer,Fall,Yes,0,Geo-W,
P02_04_A,1338,,ITS2,SH2,8365,Male,Fall,Summer,No,0,Geo-W,
P02_04_B,1141,,ITS2,EH2,E-17,Male,Fall,Fall,No,8,Geo-W,
P02_04_C,1051,,ITS2,FH2,8343,Male,Fall,Fall,No,0,Geo-W,
P02_04_D,1088,,ITS2,FH2,8387,Male,Fall,Fall,No,0,Geo-W,
P02_04_E,1314,,ITS2,SH2,6295,Female,Summer,Summer,Yes,0,Geo-W,
P02_04_F,1254,,ITS2,FH2,6242,Female,Summer,Fall,Yes,0,Geo-W,
P02_04_G,1363,,ITS2,FH2,6513,Male,Summer,Fall,Yes,0,Geo-W,
P02_04_H,1038,,ITS2,FH2,8331,Male,Fall,Fall,No,0,Geo-W,
P02_05_A,1120,,ITS2,EH2,E-15,Male,Fall,Fall,No,16,Geo-W,
P02_05_B,1132,,ITS2,EH2,E-7,Male,Fall,Fall,No,8,Geo-W,
P02_05_C,1327,,ITS2,SH2,1471,Male,Summer,Summer,Yes,0,Geo-W,
P02_05_D,1369,,ITS2,FH2,S-1,Female,Summer,Fall,Yes,0,Geo-W,
P02_05_E,1343,,ITS2,FH2,6325,Male,Summer,Fall,Yes,0,Geo-W,
P02_05_F,1294,,ITS2,SH2,P-907,Male,Summer,Summer,Yes,0,Geo-W,small weight loss -leaf fell
P02_05_G,1270,,ITS2,FH2,8314,Female,Summer,Fall,Yes,0,Geo-W,
P02_05_H,1067,,ITS2,FH2,8380,Female,Fall,Fall,No,0,Geo-W,
P02_06_A,1233,,ITS2,EH2,E-3,Female,Fall,Fall,No,16,Geo-W,
P02_06_B,1108,,ITS2,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,For these EH2 samples the nanodrop values are all higher - only difference is new spin columns. 
P02_06_C,1048,,ITS2,SH2,8343,Male,Fall,Summer,No,0,Geo-W,
P02_06_D,1267,,ITS2,SH2,8314,Female,Summer,Summer,Yes,0,Geo-W,
P02_06_E,1017,,ITS2,SH2,8356,Female,Fall,Summer,No,0,Geo-W,
P02_06_F,1303,,ITS2,SH2,6278,Male,Summer,Summer,Yes,0,Geo-W,Batch 2 (second four samples below?) sat longer in C1 solution; All 12 below stored in freezer for nanodrop?
P02_06_G,1360,,ITS2,FH2,8319,Male,Summer,Fall,Yes,0,Geo-W,
P02_06_H,1071,"sample vial says 1171, but really 1071",ITS2,SH2,8361,Male,Fall,Summer,No,0,Geo-W,
P02_07_A,1184,,ITS2,EH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P02_07_B,1239,,ITS2,EH2,E-3,Female,Fall,Fall,No,16,Geo-W,"new spin columns used on these 12 below; again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P02_07_C,1118,,ITS2,SH2,8398,Male,Fall,Summer,No,0,Geo-W,pipette at step 5 weird
P02_07_D,1255,,ITS2,SH2,6242,Female,Summer,Summer,Yes,0,Geo-W,
P02_07_E,1027,,ITS2,SH2,8352,Male,Fall,Summer,No,0,Geo-W,
P02_07_F,1041,,ITS2,SH2,8331,Male,Fall,Summer,No,0,Geo-W,"again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P02_07_G,1381,,ITS2,FH2,8352,Male,Fall,Fall,No,0,Geo-W,
P02_07_H,1392,,ITS2,FH2,8342,Female,Fall,Fall,No,0,Geo-W,
P02_08_A,1139,,ITS2,EH2,E-17,Male,Fall,Fall,No,8,Geo-W,
P02_08_B,1036,,ITS2,FH2,8358,Female,Fall,Fall,No,0,Geo-W,
P02_08_C,1387,,ITS2,FH2,8366,Female,Fall,Fall,No,0,Geo-W,potential error in step 4
P02_08_D,1296,,ITS2,SH2,6325,Male,Summer,Summer,Yes,0,Geo-W,small amount lost transferring to bead tube
P02_08_E,1115,,ITS2,FH2,8398,Male,Fall,Fall,No,0,Geo-W,
P02_08_F,1367,,ITS2,FH2,6282,Female,Summer,Fall,Yes,0,Geo-W,
P02_08_G,1385,,ITS2,FH2,8327,Female,Fall,Fall,No,0,Geo-W,
P02_08_H,1320,,ITS2,SH2,S-1,Female,Summer,Summer,Yes,0,Geo-W,
P02_09_A,1060,,ITS2,EH2,E-6,Male,Fall,Fall,Yes,16,Geo-W,redo solution was slightly colored? Very high nanodrop
P02_09_B,1072,,ITS2,FH2,8361,Male,Fall,Fall,No,0,Geo-W,
P02_09_C,1353,,ITS2,FH2,6254,Male,Summer,Fall,Yes,0,Geo-W,
P02_09_D,1104,,ITS2,EH2,E-10,Female,Fall,Fall,Yes,0,Geo-W,
P02_09_E,1311,,ITS2,SH2,6254,Male,Summer,Summer,Yes,0,Geo-W,
P02_09_F,1308,,ITS2,SH2,6251,Male,Summer,Summer,Yes,0,Geo-W,
P02_09_G,1298,,ITS2,SH2,6282,Female,Summer,Summer,Yes,0,Geo-W,
P02_09_H,1109,,ITS2,SH2,8357,Male,Fall,Summer,No,0,Geo-W,
P02_10_A,1329,,ITS2,SH2,8319,Male,Summer,Summer,Yes,0,Geo-W,
P02_10_B,1345,,ITS2,FH2,6278,Male,Summer,Fall,Yes,0,Geo-W,
P02_10_C,1014,,ITS2,FH2,8356,Female,Fall,Fall,No,0,Geo-W,
P02_10_D,1064,,ITS2,SH2,8380,Female,Fall,Summer,No,0,Geo-W,
P02_10_E,1284,,ITS2,SH2,6264,Female,Summer,Summer,Yes,0,Geo-W,error step 7; but nano was fine - error was minor? Step 10 some splashed out
P02_10_F,1166,,ITS2,FH2,8377,Female,Fall,Fall,No,0,Geo-W,
P02_10_G,1304,,ITS2,SH2,8342,Female,Fall,Summer,No,0,Geo-W,
P02_10_H,1286,,ITS2,FH2,6264,Female,Summer,Fall,Yes,0,Geo-W,
P02_11_A,1201,,ITS2,FH2,E-11,Female,Fall,Fall,No,0,Geo-W,
P02_11_B,1086,,ITS2,SH2,8387,Male,Fall,Summer,No,0,Geo-W,
P02_11_C,1374,,ITS2,FH2,6281,Female,Summer,Fall,Yes,0,Geo-W,
P02_11_D,1206,,ITS2,SH2,E-11,Female,Fall,Summer,No,0,Geo-W,
P02_11_E,1371,,ITS2,FH2,6295,Female,Summer,Fall,Yes,0,Geo-W,didn't mix? Nano drop too high?
P02_11_F,1377,,ITS2,FH2,8365,Male,Fall,Fall,No,0,Geo-W,
P02_11_G,1273,,ITS2,FH2,6234,Female,Summer,Fall,Yes,0,Geo-W,
P02_11_H,1369,,ITS2,FH2,S-1,Female,Summer,Fall,Yes,0,Geo-W,
P02_12_A,7381,,ITS2,SH2-18,2,Male,Summer,Summer,Yes,0,Forsyth,
P02_12_B,4813,,ITS2,SH2-18,3,Male,Summer,Summer,Yes,0,Forsyth,
P02_12_C,6015,,ITS2,SH1-18,8320,Female,Summer,Summer,Yes,0,Forsyth,
P02_12_D,4888,,ITS2,SH1-18,1,Male,Summer,Summer,Yes,0,Forsyth,
P02_12_E,7896,,ITS2,SH2-18,8332,Female,Summer,Summer,Yes,0,Forsyth,
P02_12_F,3755,,ITS2,SH2-18,1,Male,Summer,Summer,Yes,0,Forsyth,
P02_12_G,neg,,ITS2,,,,,,,,,
P02_12_H,pos,,ITS2,,,,,,,,,
P03_01_A,1144,"Ran out of 1144 for bacterial PCR plate 1, placed more on Bact plate 2",V4,EH2,E-2,Female,Fall,Fall,No,8,Geo-W,
P03_01_B,1089,,V4,EH2,E-1,Female,Fall,Fall,No,0,Geo-W,"again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
P03_01_C,1162,,V4,EH2,E-9,Female,Fall,Fall,No,16,Geo-W,
P03_01_D,1396,,V4,EH2,E-7,Male,Fall,Fall,No,8,Geo-W,
P03_01_E,1209,,V4,EH2,E-14,Male,Fall,Fall,No,0,Geo-W,
